,,,,,,,
,,,,,,,
Year,Population denominator for incidence and mortality rate,Cases,,,Deaths,,
,,Lower,Point,Upper,Lower,Point,Upper
2000,2895224,784000,1248403,1870000,5520,5872,6250
2001,2981648,830000,1311933,1965000,5360,5697,6070
2002,3060599,838000,1343961,2049000,5040,5355,5700
2003,3085173,843000,1339076,2021000,4600,4887,5200
2004,3122447,831000,1270287,1886000,3560,3778,4020
2005,3266318,886000,1269211,1765000,3720,3956,4210
2006,3455397,956000,1300190,1722000,3130,3326,3530
2007,3632740,1020000,1347464,1742000,2960,3144,3340
2008,3783887,1090000,1403261,1770000,3320,3546,3780
2009,3905066,1073000,1384603,1769000,2970,3161,3370
2010,4019956,1037000,1354819,1748000,2570,2738,2920
2011,4181150,1031000,1354061,1745000,2820,3016,3230
2012,4331740,981000,1328628,1758000,2750,2939,3160
2013,4427313,955000,1381944,1879000,2730,2940,3170
2014,4519398,1106000,1506350,2024000,3030,3282,3580
2015,4612329,1223000,1591767,2054000,3110,3409,3770
2016,4706097,1436000,1773971,2171000,3560,3971,4470
2017,4796631,1555000,1939400,2403000,3830,4369,5040
2018,4889391,1496000,1966210,2550000,3850,4473,5280
2019,4985289,1383000,1954336,2690000,3720,4407,5320
2020,5087584,1172000,1914081,2944000,3340,4629,6540
2021,5193416,1124000,1852429,2958000,2980,3899,5330
2022,5302681,1097000,1853086,2911000,2900,3836,5350
